namespace(aug='split', dropout=0.5, epochs=100, layers=[64, 64], lr=0.0001, model='gat'),728.35
namespace(aug='split', dropout=0.5, epochs=100, layers=[64, 64], lr=0.0001, model='gat'),736.76
namespace(aug='split', dropout=0.5, epochs=100, layers=[32, 32], lr=0.0005, model='gat'),420.89
namespace(aug='split', dropout=0.5, epochs=100, layers=[32, 32], lr=0.0001, model='gat'),410.42
namespace(aug='split', dropout=0.5, epochs=100, layers=[32, 32], lr=0.0001, model='gat'),415.21
namespace(aug='zscore', dropout=0.5, epochs=100, layers=[64, 64], lr=0.0005, model='gat'),640.67
namespace(aug='zscore', dropout=0.5, epochs=100, layers=[64, 64], lr=0.0001, model='gat'),678.25
namespace(aug='zscore', dropout=0.5, epochs=100, layers=[64, 64], lr=0.0001, model='gat'),666.32
namespace(aug='zscore', dropout=0.5, epochs=100, layers=[32, 32], lr=0.0005, model='gat'),390.63
namespace(aug='zscore', dropout=0.5, epochs=100, layers=[32, 32], lr=0.0001, model='gat'),388.94
namespace(aug='zscore', dropout=0.5, epochs=100, layers=[32, 32], lr=0.0001, model='gat'),385.52
namespace(aug='none', dropout=0.5, epochs=100, layers=[64, 64], lr=0.0005, model='gat'),664.44
namespace(aug='none', dropout=0.5, epochs=100, layers=[64, 64], lr=0.0001, model='gat'),671.07
namespace(aug='none', dropout=0.5, epochs=100, layers=[64, 64], lr=0.0001, model='gat'),764.98
namespace(aug='none', dropout=0.5, epochs=100, layers=[32, 32], lr=0.0005, model='gat'),528.76
namespace(aug='none', dropout=0.5, epochs=100, layers=[32, 32], lr=0.0001, model='gat'),482.32
namespace(aug='none', dropout=0.5, epochs=100, layers=[32, 32], lr=0.0001, model='gat'),506.00
namespace(aug='permute', dropout=0.5, epochs=100, layers=[64, 64], lr=0.0005, model='sage'),505.01
namespace(aug='permute', dropout=0.5, epochs=100, layers=[64, 64], lr=0.0005, model='gcn'),519.42
namespace(aug='permute', dropout=0.5, epochs=100, layers=[64, 64], lr=0.001, model='sage'),461.89
namespace(aug='permute', dropout=0.5, epochs=100, layers=[64, 64], lr=0.001, model='gcn'),495.77
namespace(aug='permute', dropout=0.5, epochs=100, layers=[64, 64], lr=0.0001, model='sage'),494.90
namespace(aug='permute', dropout=0.5, epochs=100, layers=[64, 64], lr=0.0001, model='gcn'),535.56
namespace(aug='permute', dropout=0.5, epochs=100, layers=[32, 32], lr=0.0005, model='sage'),259.31
namespace(aug='permute', dropout=0.5, epochs=100, layers=[32, 32], lr=0.0005, model='gcn'),249.07
namespace(aug='permute', dropout=0.5, epochs=100, layers=[32, 32], lr=0.001, model='sage'),259.79
namespace(aug='permute', dropout=0.5, epochs=100, layers=[32, 32], lr=0.001, model='gcn'),254.04
namespace(aug='permute', dropout=0.5, epochs=100, layers=[32, 32], lr=0.0001, model='sage'),264.26
namespace(aug='permute', dropout=0.5, epochs=100, layers=[32, 32], lr=0.0001, model='gcn'),272.19
namespace(aug='splitpc', dropout=0.5, epochs=150, layers=[64, 64], lr=0.0005, model='sage'),669.12
namespace(aug='splitpc', dropout=0.5, epochs=150, layers=[64, 64], lr=0.0005, model='gcn'),750.02
namespace(aug='splitpc', dropout=0.5, epochs=150, layers=[64, 64], lr=0.0005, model='gat'),1178.37
namespace(aug='splitpc', dropout=0.5, epochs=150, layers=[64, 64], lr=0.001, model='sage'),680.21
namespace(aug='splitpc', dropout=0.5, epochs=150, layers=[64, 64], lr=0.001, model='gcn'),731.64
namespace(aug='splitpc', dropout=0.5, epochs=150, layers=[64, 64], lr=0.001, model='gat'),1125.08
namespace(aug='splitpc', dropout=0.5, epochs=150, layers=[64, 64], lr=0.0001, model='sage'),714.16
namespace(aug='splitpc', dropout=0.5, epochs=150, layers=[64, 64], lr=0.0001, model='gcn'),779.96
namespace(aug='splitpc', dropout=0.5, epochs=150, layers=[64, 64], lr=0.0001, model='gat'),1296.79
namespace(aug='splitpc2', dropout=0.5, epochs=100, layers=[64, 64], lr=0.0005, model='sage'),487.57
namespace(aug='splitpc2', dropout=0.5, epochs=100, layers=[64, 64], lr=0.0005, model='gcn'),526.78
namespace(aug='splitpc2', dropout=0.5, epochs=100, layers=[64, 64], lr=0.0005, model='gat'),854.62
namespace(aug='splitpc2', dropout=0.5, epochs=100, layers=[64, 64], lr=0.001, model='sage'),451.69
namespace(aug='splitpc2', dropout=0.5, epochs=100, layers=[64, 64], lr=0.001, model='gcn'),498.35
namespace(aug='splitpc2', dropout=0.5, epochs=100, layers=[64, 64], lr=0.001, model='gat'),741.67
namespace(aug='splitpc2', dropout=0.5, epochs=100, layers=[64, 64], lr=0.0001, model='sage'),417.95
namespace(aug='splitpc2', dropout=0.5, epochs=100, layers=[64, 64], lr=0.0001, model='gcn'),459.85
namespace(aug='splitpc2', dropout=0.5, epochs=100, layers=[64, 64], lr=0.0001, model='gat'),774.85
